0	-84.440315	0.000046	9900.000000
1	-83.640312	0.000051	10300.000000
2	-82.302689	0.000063	10600.000000
3	-80.802917	0.000071	8600.000000
4	-78.416199	0.000097	8500.000000
5	-79.533051	0.000084	8100.000000
6	-79.322563	0.000088	8500.000000
7	-80.706673	0.000075	7500.000000
8	-79.461006	0.000083	7800.000000
9	-79.078651	0.000086	8400.000000
10	-65.205811	0.000449	1200.000000
11	-55.311981	0.001286	2400.000000
12	-55.843025	0.001242	1500.000000
13	-53.526855	0.001676	900.000000
14	-62.003513	0.000650	1300.000000
15	-63.884602	0.000541	1300.000000
16	-65.165764	0.000431	1700.000000
17	-77.627022	0.000104	7700.000000
18	-78.782295	0.000093	8000.000000
19	-80.548943	0.000074	7500.000000
20	-80.273857	0.000078	7000.000000
21	-79.423210	0.000084	8300.000000
22	-78.836098	0.000089	7600.000000
23	-78.356926	0.000097	8200.000000
24	-79.007675	0.000089	8200.000000
25	-79.720947	0.000082	6900.000000
26	-78.344818	0.000096	7700.000000
27	-79.900009	0.000083	8200.000000
28	-78.955681	0.000090	8800.000000
29	-79.222084	0.000088	8900.000000
30	-80.526054	0.000076	7000.000000
31	-80.005028	0.000081	8200.000000
32	-79.499130	0.000083	7700.000000
33	-79.780617	0.000080	6800.000000
34	-79.097092	0.000088	7300.000000
35	-79.167480	0.000088	7200.000000
36	-79.868011	0.000079	6800.000000
37	-78.945755	0.000089	8800.000000
38	-79.390129	0.000083	8300.000000
39	-78.689705	0.000093	7400.000000
40	-79.657402	0.000080	7700.000000
41	-79.425423	0.000084	7300.000000
42	-79.768616	0.000080	8300.000000
43	-80.123032	0.000081	7400.000000
44	-79.290237	0.000086	6700.000000
45	-78.725372	0.000094	8100.000000
46	-79.230545	0.000089	7500.000000
47	-79.144585	0.000086	7000.000000
48	-78.965637	0.000090	8400.000000
49	-79.331223	0.000084	7600.000000
50	-79.850883	0.000081	7800.000000
51	-80.223000	0.000076	6400.000000
52	-79.804718	0.000083	7700.000000
53	-79.357307	0.000085	7400.000000
54	-80.175362	0.000079	7000.000000
55	-79.615555	0.000081	8100.000000
56	-80.185898	0.000079	8700.000000
57	-79.613243	0.000084	7600.000000
58	-80.164841	0.000077	6400.000000
59	-79.553528	0.000082	8100.000000
60	-79.253899	0.000086	8700.000000
61	-80.223000	0.000079	7400.000000
62	-79.763824	0.000080	7300.000000
63	-79.146660	0.000086	7500.000000
64	-79.713837	0.000080	7300.000000
65	-78.742371	0.000092	8500.000000
66	-80.295448	0.000078	7500.000000
67	-79.997437	0.000078	7400.000000
68	-78.700935	0.000094	7800.000000
69	-79.084793	0.000092	8800.000000
70	-80.851852	0.000073	7100.000000
71	-79.215744	0.000091	8000.000000
72	-80.656395	0.000075	7200.000000
73	-79.763824	0.000084	8700.000000
74	-79.407738	0.000083	7500.000000
75	-79.912376	0.000083	7800.000000
76	-79.702019	0.000079	6600.000000
77	-79.850883	0.000083	7800.000000
78	-79.401131	0.000089	8900.000000
79	-79.880295	0.000083	7800.000000
80	-80.032951	0.000080	8300.000000
81	-80.290039	0.000077	6300.000000
82	-80.097107	0.000080	7500.000000
83	-78.914146	0.000089	6900.000000
